barcode,brand,product_name,product_type,species,quantity,ingredients_text,protein_pct,fat_pct,fiber_pct,moisture_pct,kcal_100g,countries,image_url,unique_scans,completeness,has_ingredients,has_nutrition,evidence_status,match_confidence,review_status,source_type,source_url,accessed_date
5010394133852,PEDIGREE,pedigree biscotti multi mix,food,dog,500g,"Cereali, carni e derivati (di cui 1% di pollo nel biscotto bianco, 1% di manzo nel biscotto marrone e 1% di agnello nel biscotto rosso), sottoprodotti di origine vegetale, oli e grassi, sostanze minerali.",,,,,,France;Italy;Spain;Francia,https://images.openpetfoodfacts.org/images/products/501/039/413/3852/front_it.102.400.jpg,31,0.8,yes,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/5010394133852,2026-06-26
5998749117774,Catisfactions,Catisfactions met Smakelijke Kip 60 g,food,cat,60 g,"Cereals, oils and fats, vegetable by-products, meat and animal by-products (including 4% chicken), minerals, vegetable protein extracts",3.1,1.4,,,408.0,Netherlands,https://images.openpetfoodfacts.org/images/products/599/874/911/7774/front_es.46.400.jpg,28,0.65,yes,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/5998749117774,2026-06-26
5998749117750,Catisfactions,Catisfactions met Zalige Zalmsmaak 60 g,food,cat,60 g,"Céréales, viandes et sous-produits animaux, huiles et graisses, sous - végétale, extraits de protéines végétales, poissons et sous-produits de poissons (dont saumon 4%), substances minérales. Constituants protéine: 31; teneur en matières grasses: 21; matière inorganique: 10; cellulose brute: 1.7;",2.2,,0.0,,174.5,Netherlands,https://images.openpetfoodfacts.org/images/products/599/874/911/7750/front_fr.36.400.jpg,25,0.65,yes,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/5998749117750,2026-06-26
7613031571390,Purina,Croquettes Pour Chat Adulte Stérilisé Boeuf Bifensis,food,cat,1.5kg,"Abats de bœuf 16%, Protéines de volaille déshydratées, Blé 14%, Farine de soja, Maïs, Gluten de maïs, Graisses animale, Gluten de blé, Pulpe de betterave déshydratée, Racine de chicorée séchée 2%, Fibres végétales séchées, Substances minérales, Hydrolysat, Levures",,,,,,France,https://images.openpetfoodfacts.org/images/products/761/303/157/1390/front_fr.16.400.jpg,13,0.69,yes,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/7613031571390,2026-06-26
3700260216148,Ultima,Chats stérilisés adultes,food,cat,"1,5kg","Sau hydratées de volaille, mais olenes déshydratées de ba Betterave graisse animale, sel DDITIPS/kg. Additifs nutritionnels amine E 460 mg Vitamine Conopr BRE ELABORÉ POUR LES 6 proteine de mais, proteines otéines deshratées de porc amine D3 21300 com/sodium Pyridoxine 50mg, Taurine 1400 mg L-carnitine 500g Vitamine B6 ( 8,3 g Sulfate ferreux monohydraté 356 mgmg) indure de pose 1.2 mg, Sulfate de cuivre pentahydraté 45 mg (Cu 12 maj ele de man monohydrate 168 mg (Mn. 55 mg). Sulfate de zinc monohyde 550 mg (Za tenite de sodium 0,3 mg (Se, 0.15 mg) Avec des antioxygènes 26 Conserver.dans un en",,,,,,France,https://images.openpetfoodfacts.org/images/products/370/026/021/6148/front_fr.19.400.jpg,13,0.59,yes,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/3700260216148,2026-06-26
4008429081699,Catisfactions,Catisfactions Kattensnack zalige zalmsmaak maxi pack,food,cat,180 g,,,,,,,Netherlands,https://images.openpetfoodfacts.org/images/products/400/842/908/1699/front_fr.8.400.jpg,12,0.45,no,no,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/4008429081699,2026-06-26
7613033136351,Purina,Purina One,food,cat,3kg,". En utilisant des assimilation optimale des nutriments. Information importante: le paquet de croquettes en format 9,75 kg vous est proposé dans un design différent de votre produit habituel. Nous vous garantissons cependant qu'il s'agit bien des mêmes croquettes et que leur qualité reste inchangée. Caractéristiques des croquettes PURINA ONE pour chat: • Bifensis Dual Defence: formule double défense qui contribue à améliorer le bien-être du chat, à l'intérieur comme à l'extérieur. Action cliniquement prouvée, augmente la formation d'anticorps dans l'intestin et favorise la santé de la peau et ",,,,,,France,https://images.openpetfoodfacts.org/images/products/761/303/313/6351/front_fr.29.400.jpg,10,0.79,yes,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/7613033136351,2026-06-26
3700260245117,ULTIMA,Croquettes pour chats,food,cat,"1,5kg",,3.5,1.2,,,209.2,France,https://images.openpetfoodfacts.org/images/products/370/026/024/5117/front_fr.23.400.jpg,10,0.59,no,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/3700260245117,2026-06-26
5000161032433,Gourmet,"Gourmet Perle Mini Filets In Saus, Volledig Nat Diervoeder Voor Volwassen Katten, Met Kip, Met Rund, Met Konijn, Met Zalm, 85g  Maaltijdzakje",food,cat,340 g,"Bœuf :Viandes et sous-produits animaux (15%, dont bœuf 4%), Extraits de protéines végétales, POISSONS et sous-produits de POISSONS, Substances minérales, Sucres.Poulet :Viandes et sous-produits animaux (17%, dont poulet 6%), Extraits de protéines végétales, POISSONS et sous-produits de POISSONS, Substances minérales, Sucres.Lapin :Viandes et sous-produits animaux (14%, dont lapin 4%), Extraits de protéines végétales, POISSONS et sous-produits de POISSONS, Substances minérales, Sucres.Saumon :Viandes et sous-produits animaux, Extraits de protéines végétales, POISSONS et sous-produits de POISSON",,,,,,Netherlands,https://images.openpetfoodfacts.org/images/products/500/016/103/2433/front_en.9.400.jpg,9,0.55,yes,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/5000161032433,2026-06-26
5998749117798,Catisfactions,Catisfactions met Heerlijke Kaas 60 g,food,cat,60 g,"Céréales, huiles et graisses, sous-produits d’origine végétale, viandes et sous-produits animaux, substances minérales, extraits de protéines végétales, lait et produits de laiterie (dont poudre de fromage déshydraté 2.2%, équivalent à 4% de fromage). Additifs par kg : Antioxygènes et Colorants ; Additifs nutritionnels : Vitamine A : 1293 UI, ​Vitamine B₁ : 9.9 mg, ​Vitamine B₂ : 16.9 mg, ​Vitamine B₆ : 4.4 mg, ​Vitamine D₃ : 143 UI, ​Vitamine E : 115 mg, ​Cuivre (Sulfate de cuivre (II) pentahydraté) : 6.8 mg, ​Iode (Iodure de potassium) : 1.7 mg, ​Manganèse (Sulfate manganeux, monohydraté) :",2.0,2.3,,,174.9,Netherlands,https://images.openpetfoodfacts.org/images/products/599/874/911/7798/front_nl.26.400.jpg,8,0.68,yes,yes,open_database,exact_barcode,needs_admin_review,open_pet_food_facts,https://world.openpetfoodfacts.org/product/5998749117798,2026-06-26
